66.5521 	EXP 	grating: autoDraw = True
66.8520 	EXP 	grating: autoDraw = False
67.1399 	DATA 	Keypress: right
67.1519 	EXP 	fixation: autoDraw = False
67.1519 	EXP 	grating: autoDraw = False
67.1519 	EXP 	grating: ori = 20.0
67.1519 	EXP 	fixation: autoDraw = True
67.6520 	EXP 	fixation: autoDraw = False
67.6520 	EXP 	grating: autoDraw = True
67.9513 	EXP 	grating: autoDraw = False
70.8530 	DATA 	Keypress: right
71.9518 	DATA 	Keypress: right
71.9657 	EXP 	fixation: autoDraw = False
71.9657 	EXP 	grating: autoDraw = False
71.9657 	EXP 	grating: ori = -20.0
71.9657 	EXP 	fixation: autoDraw = True
72.4661 	EXP 	fixation: autoDraw = False
72.4661 	EXP 	grating: autoDraw = True
72.7667 	EXP 	grating: autoDraw = False
73.0017 	DATA 	Keypress: right
73.6201 	DATA 	Keypress: right
73.6323 	EXP 	fixation: autoDraw = False
73.6323 	EXP 	grating: autoDraw = False
73.6323 	EXP 	grating: ori = 20.0
73.6323 	EXP 	fixation: autoDraw = True
74.1325 	EXP 	fixation: autoDraw = False
74.1325 	EXP 	grating: autoDraw = True
74.4322 	EXP 	grating: autoDraw = False
74.4692 	DATA 	Keypress: right
74.4821 	EXP 	fixation: autoDraw = False
74.4821 	EXP 	grating: autoDraw = False
74.4821 	EXP 	grating: ori = 20.0
74.4821 	EXP 	fixation: autoDraw = True
74.5002 	DATA 	Keypress: right
74.9823 	EXP 	fixation: autoDraw = False
74.9823 	EXP 	grating: autoDraw = True
75.2824 	EXP 	grating: autoDraw = False
75.3192 	DATA 	Keypress: right
75.3321 	EXP 	fixation: autoDraw = False
75.3321 	EXP 	grating: autoDraw = False
75.3321 	EXP 	grating: ori = 20.0
75.3321 	EXP 	fixation: autoDraw = True
75.8322 	EXP 	fixation: autoDraw = False
75.8322 	EXP 	grating: autoDraw = True
76.1323 	EXP 	grating: autoDraw = False
76.4358 	DATA 	Keypress: right
76.4485 	EXP 	fixation: autoDraw = False
76.4485 	EXP 	grating: autoDraw = False
76.4485 	EXP 	grating: ori = 19.5
76.4485 	EXP 	fixation: autoDraw = True
76.9484 	EXP 	fixation: autoDraw = False
76.9484 	EXP 	grating: autoDraw = True
77.2486 	EXP 	grating: autoDraw = False
77.2523 	DATA 	Keypress: right
77.2652 	EXP 	fixation: autoDraw = False
77.2652 	EXP 	grating: autoDraw = False
77.2652 	EXP 	grating: ori = 19.5
77.2652 	EXP 	fixation: autoDraw = True
77.7647 	EXP 	fixation: autoDraw = False
77.7647 	EXP 	grating: autoDraw = True
78.0813 	EXP 	grating: autoDraw = False
78.1018 	DATA 	Keypress: right
78.1144 	EXP 	fixation: autoDraw = False
78.1144 	EXP 	grating: autoDraw = False
78.1144 	EXP 	grating: ori = -19.5
78.1144 	EXP 	fixation: autoDraw = True
78.6148 	EXP 	fixation: autoDraw = False
78.6148 	EXP 	grating: autoDraw = True
78.9146 	EXP 	grating: autoDraw = False
78.9178 	DATA 	Keypress: right
78.9300 	EXP 	fixation: autoDraw = False
78.9300 	EXP 	grating: autoDraw = False
78.9300 	EXP 	grating: ori = 20.0
78.9300 	EXP 	fixation: autoDraw = True
79.4307 	EXP 	fixation: autoDraw = False
79.4307 	EXP 	grating: autoDraw = True
79.7307 	EXP 	grating: autoDraw = False
79.9161 	DATA 	Keypress: right
80.9324 	DATA 	Keypress: right
81.5328 	DATA 	Keypress: right
81.5462 	EXP 	fixation: autoDraw = False
81.5462 	EXP 	grating: autoDraw = False
81.5462 	EXP 	grating: ori = 20.0
81.5462 	EXP 	fixation: autoDraw = True
82.0462 	EXP 	fixation: autoDraw = False
82.0462 	EXP 	grating: autoDraw = True
82.3326 	DATA 	Keypress: right
82.3456 	EXP 	grating: autoDraw = False
82.3456 	EXP 	fixation: autoDraw = False
82.3456 	EXP 	grating: autoDraw = False
82.3456 	EXP 	grating: ori = 20.0
82.3456 	EXP 	fixation: autoDraw = True
82.8463 	EXP 	fixation: autoDraw = False
82.8463 	EXP 	grating: autoDraw = True
83.1468 	DATA 	Keypress: right
83.1622 	EXP 	grating: autoDraw = False
83.1622 	EXP 	fixation: autoDraw = False
83.1622 	EXP 	grating: autoDraw = False
83.1836 	EXP 	window1: mouseVisible = True
